price,monthly_rent,size,price_per_sqm,noi_monthly,cap_rate,gross_yield,coc_return,monthly_cash_flow,annual_cash_flow,break_even_ratio,expected_appreciation,total_return,url,location,is_valid,noi_annual
275000.0,1353.5864505221423,50.0,5500.0,816.1792851052662,3.561509607732071,5.906559056823894,3.282497334315273,816.1792851052662,9794.151421263196,0.39702463422973294,3.0,6.2824973343152735,https://www.idealista.pt/en/imovel/34023840/,"rua Passos Manuel, Nn, Estefânia, São Jorge de Arroios, Arroios",True,9794.151421263196
299000.0,1757.783749092262,75.0,3986.6666666666665,1127.7050159041669,4.525906418344483,7.054650498029146,4.171342321054823,1127.7050159041669,13532.460190850003,0.3584506532805725,3.0,7.171342321054823,https://www.idealista.pt/en/imovel/33979881/,"rua Dom João de Castro, Alto de Alcântara, Alcântara",True,13532.460190850003
290000.0,1761.1396635075519,73.0,3972.6027397260273,1141.0239840130102,4.721478554536594,7.287474469686423,4.351593137821745,1141.0239840130102,13692.287808156123,0.3521104500363679,3.0,7.351593137821745,https://www.idealista.pt/en/imovel/34026765/,"avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França",True,13692.287808156123
267000.0,1541.907644857162,63.0,4238.0952380952385,983.7024216800161,4.421134479460746,6.929921999358031,4.074778322083637,983.7024216800161,11804.429060160193,0.36202247588496556,3.0,7.074778322083637,https://www.idealista.pt/en/imovel/33928673/,"Estefânia, São Jorge de Arroios, Arroios",True,11804.429060160193
260000.0,0.0,127.0,2047.244094488189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.idealista.pt/en/imovel/33980177/,"rua Particular à Rua Arco do Carvalhão, Nn, Bairro Calçada dos Mestres, Campolide",False,
250000.0,1290.3569983369525,45.0,5555.555555555556,792.2332119363734,3.8027194172945924,6.193713592017372,3.504810522852159,792.2332119363734,9506.79854323648,0.3860356374573662,3.0,6.504810522852159,https://www.idealista.pt/en/imovel/34017222/,"rua Santa Bárbara, Anjos, Arroios",True,9506.79854323648
218000.0,1228.5243668271128,48.0,4541.666666666667,777.6271348014413,4.280516338356557,6.762519450424474,3.945176348715721,777.6271348014413,9331.525617617295,0.36702343413032607,3.0,6.945176348715721,https://www.idealista.pt/en/imovel/34012969/,"Olivais, Lisboa",True,9331.525617617295
280000.0,1456.1418652488649,60.0,4666.666666666667,896.4925001423798,3.842110714895913,6.240607993923707,3.5411158662635147,896.4925001423798,10757.910001708557,0.3843371160891917,3.0,6.541115866263515,https://www.idealista.pt/en/imovel/33986347/,"rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica",True,10757.910001708557
240000.0,1293.2256389871839,44.0,5454.545454545455,806.3095367492344,4.031547683746172,6.46612819493592,3.7157121509181317,806.3095367492344,9675.714440990814,0.3765128741333088,3.0,6.715712150918131,https://www.idealista.pt/en/imovel/34025702/,"beco do Forno do Sol, Graça, São Vicente",True,9675.714440990814
285000.0,0.0,50.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.idealista.pt/en/imovel/33440538/,"Santa Engrácia, São Vicente",False,
272000.0,1199.717724995192,42.0,6476.190476190476,690.429555662628,3.0460127455704176,5.292872316155258,2.80738501895891,690.429555662628,8285.154667951536,0.42450666412768473,3.0,5.80738501895891,https://www.idealista.pt/en/imovel/33993523/,"rua Comandante Nunes da Silva, 1, Centro, Ajuda",True,8285.154667951536
265000.0,1310.1147188957034,62.0,4274.193548387097,791.3296972057242,3.583379760931581,5.932594953489978,3.3026541575406276,791.3296972057242,9495.95636646869,0.39598442350702195,3.0,6.302654157540628,https://www.idealista.pt/en/imovel/33992484/,"Olivais, Lisboa",True,9495.95636646869
280000.0,1420.9476104916537,54.0,5185.185185185185,866.9293261463224,3.715411397769953,6.089775473535658,3.4243423020921226,866.9293261463224,10403.151913755868,0.389893533199045,3.0,6.424342302092123,https://www.idealista.pt/en/imovel/34057561/,"rua Amadeu de Sousa Cardoso, Alto de Santo Amaro, Alcântara",True,10403.151913755868
198000.0,1375.0,95.0,2084.2105263157896,924.0,5.6000000000000005,8.333333333333332,5.161290322580645,924.0,11088.0,0.328,3.0,8.161290322580644,https://www.idealista.pt/en/imovel/32486708/,"rua Alviela, Santa Engrácia, São Vicente",True,11088.0
250000.0,1567.0326828452694,62.0,4032.2580645161293,1024.6407869233597,4.918275777232126,7.521756877657294,4.532973066573389,1024.6407869233597,12295.689443080315,0.34612672847198434,3.0,7.532973066573389,https://www.idealista.pt/en/imovel/33524878/,"praça Faria da Costa, Olivais, Lisboa",True,12295.689443080315
237500.0,1138.5865026553597,40.0,5937.5,679.3293288971688,3.432400819690958,5.752858118679712,3.1635030596230034,679.3293288971688,8151.951946766026,0.40335729668947606,3.0,6.163503059623004,https://www.idealista.pt/en/imovel/33985445/,"travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda",True,8151.951946766026
215000.0,1493.0555555555557,100.0,2150.0,1003.3333333333335,5.6000000000000005,8.333333333333334,5.161290322580646,1003.3333333333335,12040.000000000002,0.32799999999999996,3.0,8.161290322580646,https://www.idealista.pt/en/imovel/33984524/,"rua de Ponta Delgada, Estefânia, São Jorge de Arroios, Arroios",True,12040.000000000002
239000.0,1318.1347930284487,45.0,5311.111111111111,828.3998928105636,4.159330005743415,6.618250006837399,3.8334838762612122,828.3998928105636,9940.798713726763,0.3715362820312986,3.0,6.833483876261212,https://www.idealista.pt/en/imovel/34036434/,"rua Maria Pia, 478, Centro, Campo de Ourique",True,9940.798713726763
