property_url,property_title,property_location,property_size,property_room_type,property_price,estimated_monthly_rent,comparable_count
https://www.idealista.pt/en/imovel/34005229/,"T2 flat in rua Professor Veiga Beirão, Nn, São João de Brito, Alvalade","rua Professor Veiga Beirão, Nn, São João de Brito, Alvalade",76.0,T2,"290,000€",2075.0,2
https://www.idealista.pt/en/imovel/34013648/,"T1 flat in rua do Olival, Lapa, Estrela","rua do Olival, Lapa, Estrela",50.0,T1,"230,000€",1875.0,2
https://www.idealista.pt/en/imovel/34037683/,"Semi-detached house in rua 3, Alvito - Quinta do Jacinto, Alcântara","rua 3, Alvito - Quinta do Jacinto, Alcântara",45.0,T2,"250,000€",1758.5714285714287,7
https://www.idealista.pt/en/imovel/34002042/,"T1 flat in Pena, Arroios","Pena, Arroios",47.0,T1,"299,000€",3128.0,1
https://www.idealista.pt/en/imovel/34058782/,"T2 flat in Santa Catarina, Misericórdia","Santa Catarina, Misericórdia",41.0,T2,"298,000€",2500.0,3
https://www.idealista.pt/en/imovel/34049858/,"T1 flat in rua Mestre António Martins, Centro, Penha de França","rua Mestre António Martins, Centro, Penha de França",44.0,T1,"225,000€",1450.0,3
https://www.idealista.pt/en/imovel/34060865/,"T2 flat in rua do Terreirinho, Mouraria - Castelo, Santa Maria Maior","rua do Terreirinho, Mouraria - Castelo, Santa Maria Maior",44.0,T2,"199,500€",1750.0,1
https://www.idealista.pt/en/imovel/34057686/,"T2 flat in beco das Farinhas, 5, Mouraria - Castelo, Santa Maria Maior","beco das Farinhas, 5, Mouraria - Castelo, Santa Maria Maior",40.0,T2,"280,000€",3275.7272727272725,11
https://www.idealista.pt/en/imovel/34022548/,"T2 flat in rua da Graça, Graça, São Vicente","rua da Graça, Graça, São Vicente",79.0,T2,"299,000€",2027.0,2
https://www.idealista.pt/en/imovel/33984467/,"T2 flat in Alto dos Moinhos, São Domingos de Benfica","Alto dos Moinhos, São Domingos de Benfica",67.0,T2,"245,000€",1506.076923076923,13
https://www.idealista.pt/en/imovel/34020124/,"T2 flat in rua Abel Botelho, Estrada de Benfica, São Domingos de Benfica","rua Abel Botelho, Estrada de Benfica, São Domingos de Benfica",70.0,T2,"245,000€",1506.076923076923,13
