size,num_rooms,rent_price,location,url
170 m²,T1,"1,450€/monthParking included","alameda dos Oceanos, 112, Expo Norte, Parque das Nações",https://www.idealista.pt/en/imovel/34089606/
255 m²,T2,"1,400€/month","beco do Castelo, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/34089625/
162 m²,T1,"1,600€/month","rua Barros Queirós, Rossio - Martim Moniz, Santa Maria Maior",https://www.idealista.pt/en/imovel/33739311/
162 m²,T1,"1,595€/month","alameda dos Oceanos, Nn, Expo Central, Parque das Nações",https://www.idealista.pt/en/imovel/34089186/
2118 m²,T2,"1,900€/monthParking included2,000 €5%","avenida Miguel Torga, 14, Nova Campolide, Campolide",https://www.idealista.pt/en/imovel/34088796/
188 m²,T1,"1,350€/monthParking included","rua Gregório Lopes, 1522, Restelo, Belém",https://www.idealista.pt/en/imovel/34088969/
170 m²,T1,"1,700€/monthParking included","rua do Diário de Notícias, 58, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34088402/
160 m²,T1,"4,200€/month","rua São José, Av. da Liberdade - Marquês de Pombal, Santo António",https://www.idealista.pt/en/imovel/34089060/
2115 m²,T2,"5,800€/month","rua São José, Av. da Liberdade - Marquês de Pombal, Santo António",https://www.idealista.pt/en/imovel/34089055/
250 m²,T2,"7,667€/month","rua do Carmo, Chiado, Santa Maria Maior",https://www.idealista.pt/en/imovel/34089038/
250 m²,T2,"6,333€/month","rua de Santa Justa, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34089031/
144 m²,T1,"3,306€/month","rua Vítor Cordon, Chiado, Santa Maria Maior",https://www.idealista.pt/en/imovel/34089022/
282 m²,T2,"2,500€/month","rua das Trinas, Lapa, Estrela",https://www.idealista.pt/en/imovel/34089021/
170 m²,T1,"1,650€/month",,https://www.idealista.pt/en/imovel/34089002/
288 m²,T2,"1,950€/month","avenida Engenheiro Arantes e Oliveira, Olaias, Areeiro",https://www.idealista.pt/en/imovel/34088989/
165 m²,T1,"1,650€/month","avenida Dom João II, 25, Expo Central, Parque das Nações",https://www.idealista.pt/en/imovel/34088096/
140 m²,T1,"1,050€/month","rua da Paz, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34088315/
1100 m²,T1,"1,800€/month",,https://www.idealista.pt/en/imovel/34088055/
145 m²,T1,990€/month,"rua Pedro Dias, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34088101/
295 m²,T2,"1,650€/monthParking included","Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34088062/
165 m²,T1,"1,600€/month","passeio da Vila Expo, 13, Expo Central, Parque das Nações",https://www.idealista.pt/en/imovel/34087760/
185 m²,T1,"2,200€/monthParking included","Campo de Santana - Santa Marta, Santo António",https://www.idealista.pt/en/imovel/34087681/
282 m²,T2,"1,800€/monthParking included","Lapa, Estrela",https://www.idealista.pt/en/imovel/34087679/
2145 m²,T2,"4,200€/month","rua de São Paulo, Cais do Sodré - Santos, Misericórdia",https://www.idealista.pt/en/imovel/33466095/
146 m²,T1,"1,100€/month",,https://www.idealista.pt/en/imovel/34087561/
