url,price,comparable_count,avg_price_per_sqm,estimated_monthly_rent,estimated_annual_rent,gross_rental_yield,reason
https://www.idealista.pt/en/imovel/34023840/,275000.0,72,27.058614720495942,1344.2322182189835,16130.7866186278,5.865740588591928,Valid estimate
https://www.idealista.pt/en/imovel/33979881/,299000.0,199,23.87242661335445,1780.1155362888835,21361.3864354666,7.144276399821606,Valid estimate
https://www.idealista.pt/en/imovel/34026765/,290000.0,27,23.59271746718087,1739.3711986346084,20872.454383615303,7.197398063315622,Valid estimate
https://www.idealista.pt/en/imovel/33928673/,267000.0,40,23.164107561623787,1469.3076403714806,17631.691684457768,6.603629844366206,Valid estimate
https://www.idealista.pt/en/imovel/33980177/,260000.0,148,21.85908448728965,1805.5555555555557,21666.666666666668,8.333333333333334,Valid estimate
https://www.idealista.pt/en/imovel/34017222/,250000.0,52,28.294703836807887,1264.0966293885472,15169.159552662566,6.067663821065026,Valid estimate
https://www.idealista.pt/en/imovel/34012969/,218000.0,5,24.6246613851265,1163.5579244428714,13962.695093314456,6.404906006107549,Valid estimate
https://www.idealista.pt/en/imovel/33986347/,280000.0,115,24.901156809696797,1452.9652125441062,17435.582550529274,6.226993768046169,Valid estimate
https://www.idealista.pt/en/imovel/34025702/,240000.0,6,29.5982905982906,1280.9083734646167,15370.900481575401,6.404541867323084,Valid estimate
https://www.idealista.pt/en/imovel/33440538/,285000.0,19,25.461276852023154,1216.1995627786532,14594.394753343839,5.1208402643311715,Valid estimate
https://www.idealista.pt/en/imovel/33993523/,272000.0,49,28.32335203421976,1200.7785687061692,14409.34282447403,5.297552508997805,Valid estimate
https://www.idealista.pt/en/imovel/33992484/,265000.0,11,21.607634732259207,1321.4369686424443,15857.243623709332,5.98386551838088,Valid estimate
https://www.idealista.pt/en/imovel/34057561/,280000.0,69,25.769198655260013,1384.3397698774459,16612.07723852935,5.932884728046196,Valid estimate
https://www.idealista.pt/en/imovel/32486708/,198000.0,166,24.608129524278226,1375.0,16500.0,8.333333333333332,Valid estimate
https://www.idealista.pt/en/imovel/33524878/,250000.0,114,25.562726733895076,1565.6814661347905,18788.177593617485,7.515271037446994,Valid estimate
https://www.idealista.pt/en/imovel/33985445/,237500.0,35,27.306751744972896,1101.6975553676407,13220.370664411688,5.566471858699659,Valid estimate
https://www.idealista.pt/en/imovel/33984524/,215000.0,17,21.219450699877385,1493.0555555555557,17916.666666666668,8.333333333333334,Valid estimate
https://www.idealista.pt/en/imovel/34036434/,239000.0,15,28.360676593380997,1253.259586430808,15039.115037169697,6.2925167519538485,Valid estimate
https://www.idealista.pt/en/imovel/33799532/,235560.0,50,27.177711090350332,1244.3537220163955,14932.244664196747,6.33904086610492,Valid estimate
https://www.idealista.pt/en/imovel/34032579/,280000.0,24,27.39359617802806,1123.9581008416228,13487.497210099475,4.816963289321241,Valid estimate
https://www.idealista.pt/en/imovel/34020888/,285500.0,20,26.758090522687098,1352.374999055069,16228.49998866083,5.684238174662287,Valid estimate
https://www.idealista.pt/en/imovel/33983484/,290000.0,75,26.522280229813497,1373.6809131319583,16484.170957583498,5.684196881925344,Valid estimate
https://www.idealista.pt/en/imovel/33934029/,225000.0,10,28.78888888888889,1212.0843658791784,14545.012390550142,6.464449951355619,Valid estimate
https://www.idealista.pt/en/imovel/33979648/,199000.0,49,26.44035692678608,1293.644920017538,15523.739040210456,7.800873889552992,Valid estimate
https://www.idealista.pt/en/imovel/34062281/,275000.0,75,26.969805485211456,1341.296128159195,16095.553537910338,5.852928559240123,Valid estimate
https://www.idealista.pt/en/imovel/34041352/,295000.0,40,28.076869622753286,1345.5939485788726,16147.127382946472,5.473602502693719,Valid estimate
https://www.idealista.pt/en/imovel/33957087/,272000.0,49,28.32335203421976,1200.7785687061692,14409.34282447403,5.297552508997805,Valid estimate
https://www.idealista.pt/en/imovel/34005065/,288000.0,89,26.28435456831234,1506.1834685820068,18074.20162298408,6.275764452425029,Valid estimate
https://www.idealista.pt/en/imovel/34037932/,239000.0,14,27.529296350051066,1222.916419244335,14674.99703093202,6.140166121728878,Valid estimate
https://www.idealista.pt/en/imovel/34020973/,210000.0,41,27.32988662515347,1108.3407766812318,13300.089320174782,6.333375866749896,Valid estimate
https://www.idealista.pt/en/imovel/34014664/,288000.0,137,25.25868109320523,1557.971527889651,18695.658334675813,6.491548032873546,Valid estimate
https://www.idealista.pt/en/imovel/34005974/,299500.0,27,23.373664944048645,1856.903023260233,22282.8362791228,7.440012113229649,Valid estimate
https://www.idealista.pt/en/imovel/33985662/,210000.0,63,25.29590707393883,1458.3333333333333,17500.0,8.333333333333332,Valid estimate
https://www.idealista.pt/en/imovel/34024577/,299900.0,132,23.74450274304928,1541.7109633535642,18500.531560242773,6.168900153465413,Valid estimate
https://www.idealista.pt/en/imovel/33928601/,275000.0,56,27.1454155687131,1244.704628612225,14936.4555433467,5.4314383793988,Valid estimate
https://www.idealista.pt/en/imovel/33995907/,275000.0,67,26.01457461624592,1438.4970704066461,17261.964844879752,6.277078125410819,Valid estimate
https://www.idealista.pt/en/imovel/34057779/,250000.0,9,22.24685845942427,1163.0894047282438,13957.072856738927,5.582829142695571,Valid estimate
https://www.idealista.pt/en/imovel/34058868/,299000.0,168,24.783012324827762,1825.5439654133513,21906.527584960215,7.3265978545017445,Valid estimate
https://www.idealista.pt/en/imovel/34055036/,248000.0,91,25.228209295317846,1446.3265406075711,17355.91848729085,6.998354228746312,Valid estimate
https://www.idealista.pt/en/imovel/34062579/,292000.0,50,27.45803588068262,1306.076382860578,15672.916594326936,5.367437189837991,Valid estimate
