url,price,comparable_count,price_per_sqm,monthly_rent,annual_rent,gross_rental_yield,snapshot_date,property_id,neighborhood,cap_rate
https://www.idealista.pt/en/imovel/34023840/,275000.0,72,27.058614720495942,1344.2322182189837,16130.7866186278,5.865740588591928,2025-03-22,,,4.985879500303138
https://www.idealista.pt/en/imovel/33979881/,299000.0,199,23.87242661335445,1780.1155362888835,21361.3864354666,7.144276399821606,2025-03-22,,,6.072634939848364
https://www.idealista.pt/en/imovel/34026765/,290000.0,27,23.59271746718087,1739.3711986346084,20872.454383615303,7.197398063315622,2025-03-22,,,6.117788353818279
https://www.idealista.pt/en/imovel/33928673/,267000.0,40,23.164107561623787,1469.3076403714806,17631.691684457768,6.603629844366206,2025-03-22,,,5.613085367711275
https://www.idealista.pt/en/imovel/33980177/,260000.0,148,21.85908448728965,1805.5555555555557,21666.666666666668,8.333333333333334,2025-03-22,,,7.083333333333334
https://www.idealista.pt/en/imovel/34017222/,250000.0,52,28.294703836807887,1264.0966293885472,15169.159552662566,6.067663821065026,2025-03-22,,,5.157514247905272
https://www.idealista.pt/en/imovel/34012969/,218000.0,5,24.6246613851265,1163.5579244428714,13962.695093314456,6.404906006107549,2025-03-22,,,5.444170105191416
https://www.idealista.pt/en/imovel/33986347/,280000.0,115,24.901156809696797,1452.9652125441062,17435.582550529274,6.226993768046169,2025-03-22,,,5.292944702839244
https://www.idealista.pt/en/imovel/34025702/,240000.0,6,29.5982905982906,1280.9083734646167,15370.9004815754,6.404541867323084,2025-03-22,,,5.443860587224621
https://www.idealista.pt/en/imovel/33440538/,285000.0,19,25.46127685202315,1216.1995627786532,14594.39475334384,5.1208402643311715,2025-03-22,,,4.352714224681495
https://www.idealista.pt/en/imovel/33993523/,272000.0,49,28.32335203421976,1200.7785687061692,14409.34282447403,5.297552508997805,2025-03-22,,,4.502919632648134
https://www.idealista.pt/en/imovel/33992484/,265000.0,11,21.607634732259207,1321.4369686424443,15857.243623709332,5.98386551838088,2025-03-22,,,5.086285690623748
https://www.idealista.pt/en/imovel/34057561/,280000.0,69,25.769198655260013,1384.339769877446,16612.07723852935,5.932884728046196,2025-03-22,,,5.042952018839267
https://www.idealista.pt/en/imovel/32486708/,198000.0,166,24.608129524278223,1375.0,16500.0,8.333333333333332,2025-03-22,,,7.083333333333332
https://www.idealista.pt/en/imovel/33524878/,250000.0,114,25.562726733895076,1565.6814661347903,18788.177593617485,7.515271037446994,2025-03-22,,,6.387980381829945
https://www.idealista.pt/en/imovel/33985445/,237500.0,35,27.306751744972896,1101.6975553676407,13220.370664411688,5.566471858699659,2025-03-22,,,4.73150107989471
https://www.idealista.pt/en/imovel/33984524/,215000.0,17,21.219450699877385,1493.0555555555557,17916.666666666668,8.333333333333334,2025-03-22,,,7.083333333333334
https://www.idealista.pt/en/imovel/34036434/,239000.0,15,28.360676593380997,1253.259586430808,15039.115037169697,6.2925167519538485,2025-03-22,,,5.348639239160771
https://www.idealista.pt/en/imovel/33799532/,235560.0,50,27.177711090350332,1244.3537220163955,14932.244664196747,6.33904086610492,2025-03-22,,,5.3881847361891815
https://www.idealista.pt/en/imovel/34032579/,280000.0,24,27.39359617802806,1123.9581008416228,13487.497210099476,4.816963289321241,2025-03-22,,,4.094418795923055
https://www.idealista.pt/en/imovel/34020888/,285500.0,20,26.758090522687095,1352.374999055069,16228.49998866083,5.684238174662287,2025-03-22,,,4.831602448462943
https://www.idealista.pt/en/imovel/33983484/,290000.0,75,26.522280229813497,1373.6809131319585,16484.170957583498,5.684196881925344,2025-03-22,,,4.8315673496365426
https://www.idealista.pt/en/imovel/33934029/,225000.0,10,28.78888888888889,1212.0843658791784,14545.012390550142,6.464449951355619,2025-03-22,,,5.494782458652276
https://www.idealista.pt/en/imovel/33979648/,199000.0,49,26.44035692678608,1293.644920017538,15523.739040210456,7.800873889552992,2025-03-22,,,6.630742806120043
https://www.idealista.pt/en/imovel/34062281/,275000.0,75,26.969805485211456,1341.296128159195,16095.553537910338,5.852928559240123,2025-03-22,,,4.974989275354105
https://www.idealista.pt/en/imovel/34041352/,295000.0,40,28.07686962275329,1345.5939485788726,16147.127382946472,5.473602502693719,2025-03-22,,,4.652562127289661
https://www.idealista.pt/en/imovel/33957087/,272000.0,49,28.32335203421976,1200.7785687061692,14409.34282447403,5.297552508997805,2025-03-22,,,4.502919632648134
https://www.idealista.pt/en/imovel/34005065/,288000.0,89,26.28435456831234,1506.1834685820068,18074.20162298408,6.275764452425029,2025-03-22,,,5.334399784561274
https://www.idealista.pt/en/imovel/34037932/,239000.0,14,27.529296350051062,1222.916419244335,14674.99703093202,6.140166121728878,2025-03-22,,,5.219141203469547
https://www.idealista.pt/en/imovel/34020973/,210000.0,41,27.32988662515347,1108.3407766812318,13300.089320174782,6.333375866749896,2025-03-22,,,5.383369486737411
https://www.idealista.pt/en/imovel/34014664/,288000.0,137,25.25868109320523,1557.971527889651,18695.658334675813,6.491548032873546,2025-03-22,,,5.517815827942514
https://www.idealista.pt/en/imovel/34005974/,299500.0,27,23.373664944048645,1856.903023260233,22282.8362791228,7.440012113229649,2025-03-22,,,6.324010296245201
https://www.idealista.pt/en/imovel/33985662/,210000.0,63,25.29590707393883,1458.3333333333333,17500.0,8.333333333333332,2025-03-22,,,7.083333333333332
https://www.idealista.pt/en/imovel/34024577/,299900.0,132,23.74450274304928,1541.7109633535642,18500.531560242773,6.168900153465413,2025-03-22,,,5.2435651304456
