url,title,location,price,size,num_rooms,price_per_sqm,room_type,snapshot_date
https://www.idealista.pt/en/imovel/34073114/,"T2 flat, Escadinhas das Portas do Mar, Alfama, Santa Maria Maior",,299000,72,2,4152.78,T2,2025-03-31
https://www.idealista.pt/en/imovel/34073785/,"T2 flat in rua Poiais de São Bento, Príncipe Real - São Bento, Misericórdia","rua Poiais de São Bento, Príncipe Real - São Bento, Misericórdia",274000,56,2,4892.86,T2,2025-03-31
https://www.idealista.pt/en/imovel/34072221/,"T1 flat in rua Pedro Alexandrino, Santa Engrácia, São Vicente","rua Pedro Alexandrino, Santa Engrácia, São Vicente",270000,42,1,6428.57,T1,2025-03-31
https://www.idealista.pt/en/imovel/34074501/,"T2 flat in rua Doutor José Saraiva, Olivais, Lisboa","rua Doutor José Saraiva, Olivais, Lisboa",280000,61,2,4590.16,T2,2025-03-31
https://www.idealista.pt/en/imovel/34073038/,"T2 flat in Olivais, Lisboa","Olivais, Lisboa",220000,66,2,3333.33,T2,2025-03-31
https://www.idealista.pt/en/imovel/34087379/,"T1 flat in rua do Benformoso, 190, Mouraria - Castelo, Santa Maria Maior","rua do Benformoso, 190, Mouraria - Castelo, Santa Maria Maior",200000,40,1,5000.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34087552/,"T1 flat in Arneiros, Benfica","Arneiros, Benfica",280000,46,1,6086.96,T1,2025-03-31
https://www.idealista.pt/en/imovel/34087179/,"T2 flat in praça Eduardo Mondlane, Nn, Marvila, Lisboa","praça Eduardo Mondlane, Nn, Marvila, Lisboa",195000,66,2,2954.55,T2,2025-03-31
https://www.idealista.pt/en/imovel/33950236/,"T1 flat in rua do Carrião, Campo de Santana - Santa Marta, Santo António","rua do Carrião, Campo de Santana - Santa Marta, Santo António",245000,43,1,5697.67,T1,2025-03-31
https://www.idealista.pt/en/imovel/34089794/,"T2 flat, circular Sul do Bairro da Encarnação, Olivais, Lisboa",,239000,54,2,4425.93,T2,2025-03-31
https://www.idealista.pt/en/imovel/34090282/,"T2 flat in rua Conselheiro Martins de Carvalho, Restelo, Belém","rua Conselheiro Martins de Carvalho, Restelo, Belém",295000,65,2,4538.46,T2,2025-03-31
https://www.idealista.pt/en/imovel/33694377/,"T1 flat in praça São Paulo, Cais do Sodré - Santos, Misericórdia","praça São Paulo, Cais do Sodré - Santos, Misericórdia",180000,40,1,4500.0,T1,2025-03-31
