url,title,location,price,size,num_rooms,price_per_sqm,room_type,snapshot_date
https://www.idealista.pt/en/imovel/32401970/,"T2 flat in Graça, São Vicente","Graça, São Vicente",250000,61,2,4098.36,T2,2025-03-31
https://www.idealista.pt/en/imovel/33927261/,"T2 flat in travessa Alcaide, 16, Santa Catarina, Misericórdia","travessa Alcaide, 16, Santa Catarina, Misericórdia",269000,75,2,3586.67,T2,2025-03-31
https://www.idealista.pt/en/imovel/33737730/,"T2 flat in Alto de Santo Amaro, Alcântara","Alto de Santo Amaro, Alcântara",295000,74,2,3986.49,T2,2025-03-31
https://www.idealista.pt/en/imovel/33952410/,"T1 flat in Prazeres, Estrela","Prazeres, Estrela",235000,59,1,3983.05,T1,2025-03-31
https://www.idealista.pt/en/imovel/33895242/,"T1 flat in Centro, Belém","Centro, Belém",280000,40,1,7000.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/33113830/,"T2 flat in rua Penha de França, Centro, Penha de França","rua Penha de França, Centro, Penha de França",285000,82,2,3475.61,T2,2025-03-31
https://www.idealista.pt/en/imovel/33882150/,"T1 flat in rua de São Bento, Príncipe Real - São Bento, Misericórdia","rua de São Bento, Príncipe Real - São Bento, Misericórdia",250000,46,1,5434.78,T1,2025-03-31
https://www.idealista.pt/en/imovel/33367986/,"T1 flat in rua Saraiva de Carvalho, 215, Centro, Campo de Ourique","rua Saraiva de Carvalho, 215, Centro, Campo de Ourique",295000,55,1,5363.64,T1,2025-03-31
https://www.idealista.pt/en/imovel/33958249/,"T2 flat in rua Heliodoro Salgado, Nn, Anjos, Arroios","rua Heliodoro Salgado, Nn, Anjos, Arroios",259000,70,2,3700.0,T2,2025-03-31
https://www.idealista.pt/en/imovel/33425899/,"T2 flat in Pena, Arroios","Pena, Arroios",253000,80,2,3162.5,T2,2025-03-31
https://www.idealista.pt/en/imovel/33861608/,"T2 flat in travessa João Alves, Rio Seco - Casalinho, Ajuda","travessa João Alves, Rio Seco - Casalinho, Ajuda",290000,59,2,4915.25,T2,2025-03-31
https://www.idealista.pt/en/imovel/33347728/,"T1 flat in Anjos, Arroios","Anjos, Arroios",299000,62,1,4822.58,T1,2025-03-31
https://www.idealista.pt/en/imovel/33873162/,"T1 flat in Beato, Lisboa","Beato, Lisboa",220000,47,1,4680.85,T1,2025-03-31
