url,title,location,price,size,num_rooms,price_per_sqm,room_type,snapshot_date
https://www.idealista.pt/en/imovel/34023840/,"T1 flat in rua Passos Manuel, Nn, Estefânia, São Jorge de Arroios, Arroios","rua Passos Manuel, Nn, Estefânia, São Jorge de Arroios, Arroios",275000,50,1,5500.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/33979881/,"T2 flat in rua Dom João de Castro, Alto de Alcântara, Alcântara","rua Dom João de Castro, Alto de Alcântara, Alcântara",299000,75,2,3986.67,T2,2025-03-31
https://www.idealista.pt/en/imovel/34026765/,"T1 flat in avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França","avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França",290000,73,1,3972.6,T1,2025-03-31
https://www.idealista.pt/en/imovel/33928673/,"T1 flat in Estefânia, São Jorge de Arroios, Arroios","Estefânia, São Jorge de Arroios, Arroios",267000,63,1,4238.1,T1,2025-03-31
https://www.idealista.pt/en/imovel/33980177/,"Semi-detached house in rua Particular à Rua Arco do Carvalhão, Nn, Bairro Calçada dos Mestres, Campolide","rua Particular à Rua Arco do Carvalhão, Nn, Bairro Calçada dos Mestres, Campolide",260000,127,0,2047.24,,2025-03-31
https://www.idealista.pt/en/imovel/34017222/,"T1 flat in rua Santa Bárbara, Anjos, Arroios","rua Santa Bárbara, Anjos, Arroios",250000,45,1,5555.56,T1,2025-03-31
https://www.idealista.pt/en/imovel/34012969/,"T1 flat in Olivais, Lisboa","Olivais, Lisboa",218000,48,1,4541.67,T1,2025-03-31
https://www.idealista.pt/en/imovel/33986347/,"T2 flat in rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica","rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica",280000,60,2,4666.67,T2,2025-03-31
https://www.idealista.pt/en/imovel/34025702/,"T2 flat in beco do Forno do Sol, Graça, São Vicente","beco do Forno do Sol, Graça, São Vicente",240000,44,2,5454.55,T2,2025-03-31
https://www.idealista.pt/en/imovel/33440538/,"Duplex in Santa Engrácia, São Vicente","Santa Engrácia, São Vicente",285000,50,0,5700.0,,2025-03-31
https://www.idealista.pt/en/imovel/33993523/,"T1 flat in rua Comandante Nunes da Silva, 1, Centro, Ajuda","rua Comandante Nunes da Silva, 1, Centro, Ajuda",272000,42,1,6476.19,T1,2025-03-31
https://www.idealista.pt/en/imovel/33992484/,"T2 flat in Olivais, Lisboa","Olivais, Lisboa",265000,62,2,4274.19,T2,2025-03-31
https://www.idealista.pt/en/imovel/34057561/,"T1 flat in rua Amadeu de Sousa Cardoso, Alto de Santo Amaro, Alcântara","rua Amadeu de Sousa Cardoso, Alto de Santo Amaro, Alcântara",280000,54,1,5185.19,T1,2025-03-31
https://www.idealista.pt/en/imovel/32486708/,"T2 flat in rua Alviela, Santa Engrácia, São Vicente","rua Alviela, Santa Engrácia, São Vicente",198000,95,2,2084.21,T2,2025-03-31
https://www.idealista.pt/en/imovel/33524878/,"T2 flat in praça Faria da Costa, Olivais, Lisboa","praça Faria da Costa, Olivais, Lisboa",250000,62,2,4032.26,T2,2025-03-31
https://www.idealista.pt/en/imovel/33985445/,"T1 flat in travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda","travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda",237500,40,1,5937.5,T1,2025-03-31
https://www.idealista.pt/en/imovel/33984524/,"T1 flat in rua de Ponta Delgada, Estefânia, São Jorge de Arroios, Arroios","rua de Ponta Delgada, Estefânia, São Jorge de Arroios, Arroios",215000,100,1,2150.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34036434/,"T2 flat in rua Maria Pia, 478, Centro, Campo de Ourique","rua Maria Pia, 478, Centro, Campo de Ourique",239000,45,2,5311.11,T2,2025-03-31
https://www.idealista.pt/en/imovel/33799532/,"T1 flat in travessa Parreiras, 74, Campo de Santana - Santa Marta, Santo António","travessa Parreiras, 74, Campo de Santana - Santa Marta, Santo António",235560,45,1,5234.67,T1,2025-03-31
https://www.idealista.pt/en/imovel/34032579/,"T1 flat in rua do Figueiredo, Centro, Belém","rua do Figueiredo, Centro, Belém",280000,40,1,7000.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34020888/,"T1 flat in Centro, Campolide","Centro, Campolide",285500,50,1,5710.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/33983484/,"T1 flat in rua Alfredo Roque Gameiro, 1, Entrecampos, Avenidas Novas","rua Alfredo Roque Gameiro, 1, Entrecampos, Avenidas Novas",290000,52,1,5576.92,T1,2025-03-31
https://www.idealista.pt/en/imovel/33934029/,"T2 flat in rua São Cristóvão, Mouraria - Castelo, Santa Maria Maior","rua São Cristóvão, Mouraria - Castelo, Santa Maria Maior",225000,42,2,5357.14,T2,2025-03-31
https://www.idealista.pt/en/imovel/33979648/,"T1 flat in rua de Santa Marinha, 58, Graça, São Vicente","rua de Santa Marinha, 58, Graça, São Vicente",199000,50,1,3980.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34062281/,"T1 flat in rua Passos Manuel, Estefânia, São Jorge de Arroios, Arroios","rua Passos Manuel, Estefânia, São Jorge de Arroios, Arroios",275000,50,1,5500.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34041352/,"T1 flat in rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda","rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda",295000,48,1,6145.83,T1,2025-03-31
