url,price,comparable_count,avg_price_per_sqm,estimated_monthly_rent,estimated_annual_rent,gross_rental_yield,reason
https://www.idealista.pt/en/imovel/34023840/,275000,182,11.862136335228804,1884.7967032967033,22617.56043956044,8.224567432567433,Valid estimate
https://www.idealista.pt/en/imovel/33979881/,299000,170,7.526081482990721,2106.205882352941,25274.470588235294,8.453000196734212,Valid estimate
https://www.idealista.pt/en/imovel/34026765/,290000,169,11.7392536145292,1917.8284023668639,23013.940828402367,7.9358416649663335,Valid estimate
https://www.idealista.pt/en/imovel/33928673/,267000,176,12.041045094809062,1951.5625,23418.75,8.771067415730336,Valid estimate
https://www.idealista.pt/en/imovel/33980177/,260000,0,0,0,0,0,Insufficient comparables (0)
https://www.idealista.pt/en/imovel/34017222/,250000,161,11.728835932744792,1837.192546583851,22046.31055900621,8.818524223602484,Valid estimate
https://www.idealista.pt/en/imovel/34012969/,218000,10,11.376667398332774,1793.5,21522.0,9.872477064220183,Valid estimate
https://www.idealista.pt/en/imovel/33986347/,280000,160,7.498509053283629,2097.4375,25169.25,8.989017857142857,Valid estimate
https://www.idealista.pt/en/imovel/34025702/,240000,82,7.5790868945044005,2030.060975609756,24360.73170731707,10.15030487804878,Valid estimate
https://www.idealista.pt/en/imovel/33440538/,285000,67,11.942473842488862,1861.4925373134329,22337.910447761195,7.837863315003927,Valid estimate
https://www.idealista.pt/en/imovel/33993523/,272000,162,11.222966757498597,1744.9876543209878,20939.851851851854,7.69847494553377,Valid estimate
https://www.idealista.pt/en/imovel/33992484/,265000,10,5.903682997783749,1649.5,19794.0,7.469433962264151,Valid estimate
https://www.idealista.pt/en/imovel/34057561/,280000,212,11.980125932328216,1906.0754716981132,22872.905660377357,8.168894878706197,Valid estimate
https://www.idealista.pt/en/imovel/32486708/,198000,126,7.74924758201098,2167.2619047619046,26007.142857142855,13.134920634920633,Valid estimate
https://www.idealista.pt/en/imovel/33524878/,250000,145,7.375105478914387,2040.2758620689656,24483.310344827587,9.793324137931036,Valid estimate
https://www.idealista.pt/en/imovel/33985445/,237500,125,11.871752333479993,1830.744,21968.928,9.250074947368422,Valid estimate
https://www.idealista.pt/en/imovel/33984524/,215000,0,0,0,0,0,Insufficient comparables (0)
https://www.idealista.pt/en/imovel/34036434/,239000,166,7.10542519280472,1951.0843373493976,23413.012048192773,9.796239350708273,Valid estimate
https://www.idealista.pt/en/imovel/33799532/,235560,172,11.57473443836437,1814.9593023255813,21779.511627906977,9.24584463742018,Valid estimate
https://www.idealista.pt/en/imovel/34032579/,280000,76,10.96074461014801,1678.157894736842,20137.894736842107,7.192105263157895,Valid estimate
https://www.idealista.pt/en/imovel/34020888/,285500,61,11.085558461089247,1802.377049180328,21628.524590163935,7.575665355574059,Valid estimate
https://www.idealista.pt/en/imovel/33983484/,290000,186,11.389832212128198,1828.3494623655913,21940.193548387095,7.565583982202447,Valid estimate
https://www.idealista.pt/en/imovel/33934029/,225000,149,7.425088994982442,2000.4026845637584,24004.8322147651,10.668814317673379,Valid estimate
https://www.idealista.pt/en/imovel/33979648/,199000,144,12.078867644832863,1910.0208333333333,22920.25,11.517713567839195,Valid estimate
https://www.idealista.pt/en/imovel/34062281/,275000,191,11.920170757928295,1891.2722513089004,22695.267015706806,8.252824369347929,Valid estimate
https://www.idealista.pt/en/imovel/34041352/,295000,121,11.609535671078019,1844.4462809917356,22133.355371900827,7.502832329457908,Valid estimate
https://www.idealista.pt/en/imovel/33957087/,272000,162,11.222966757498597,1744.9876543209878,20939.851851851854,7.69847494553377,Valid estimate
https://www.idealista.pt/en/imovel/34005065/,288000,190,7.56192238757751,2100.1315789473683,25201.57894736842,8.750548245614034,Valid estimate
https://www.idealista.pt/en/imovel/34037932/,239000,162,7.454577094301022,2037.8703703703704,24454.444444444445,10.231985123198513,Valid estimate
https://www.idealista.pt/en/imovel/34020973/,210000,152,11.61380948666582,1782.6513157894738,21391.815789473687,10.186578947368423,Valid estimate
https://www.idealista.pt/en/imovel/34014664/,288000,190,7.54851895105904,2112.3947368421054,25348.736842105267,8.801644736842107,Valid estimate
https://www.idealista.pt/en/imovel/34005974/,299500,189,11.495999954355575,1890.095238095238,22681.142857142855,7.573002623419985,Valid estimate
https://www.idealista.pt/en/imovel/34024577/,299900,128,7.3995153462670435,2060.46875,24725.625,8.244623207735911,Valid estimate
https://www.idealista.pt/en/imovel/33928601/,275000,140,11.94910513034568,1875.2357142857143,22502.82857142857,8.182846753246753,Valid estimate
https://www.idealista.pt/en/imovel/33995907/,275000,167,7.6410926161968975,2141.1077844311376,25693.29341317365,9.343015786608602,Valid estimate
https://www.idealista.pt/en/imovel/34057779/,250000,27,9.809018072815853,1581.4814814814815,18977.777777777777,7.591111111111111,Valid estimate
https://www.idealista.pt/en/imovel/34055036/,248000,188,7.305570983148483,2037.9521276595744,24455.425531914894,9.861058682223748,Valid estimate
https://www.idealista.pt/en/imovel/34062579/,292000,121,11.817114319180387,1866.3471074380166,22396.165289256198,7.669919619608287,Valid estimate
https://www.idealista.pt/en/imovel/32726243/,249990,145,11.472879565473674,1926.0206896551724,23112.248275862068,9.245269121109672,Valid estimate
https://www.idealista.pt/en/imovel/34031027/,225000,200,11.626238186858295,1874.315,22491.78,9.996346666666668,Valid estimate
https://www.idealista.pt/en/imovel/33546055/,268000,86,7.333187836036856,2012.093023255814,24145.116279069767,9.009371745921554,Valid estimate
https://www.idealista.pt/en/imovel/34050744/,247500,139,7.42389151633857,2021.7985611510792,24261.58273381295,9.802659690429474,Valid estimate
