size,num_rooms,rent_price,location,url
45 m²,T1,990€/month,"rua Pedro Dias, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/33876065/
45 m²,T1,1300€/month,"rua Sol a Chelas, Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/33585753/
45 m²,T2,1450€/month,"travessa do Forno aos Anjos, Anjos, Arroios",https://www.idealista.pt/en/imovel/33410419/
60 m²,T2,1500€/month,"travessa São Bernardino, Pena, Arroios",https://www.idealista.pt/en/imovel/33380694/
52 m²,T1,900€/month,"rua Dom Tomás de Melo Breyner, Beato, Lisboa",https://www.idealista.pt/en/imovel/33359936/
65 m²,T2,1650€/month,"rua da Palma, Rossio - Martim Moniz, Santa Maria Maior",https://www.idealista.pt/en/imovel/33246798/
45 m²,T2,1000€/month,"rua Academia das Ciências, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/33146671/
60 m²,T2,1450€/month,"largo das Olarias, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/33146645/
60 m²,T1,1295€/month,"rua do Embaixador, Centro, Belém",https://www.idealista.pt/en/imovel/33113048/
70 m²,T2,1700€/month,"rua Heróis de Quionga, Centro, Penha de França",https://www.idealista.pt/en/imovel/33051578/
50 m²,T1,1600€/month,"beco Carrasco, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/33051563/
55 m²,T1,1950€/month,"travessa dos Inglesinhos, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/32737892/
49 m²,T1,1380€/month,"rua de Gustavo de Matos Sequeira, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/32737870/
100 m²,T2,1750€/month,"praça de Londres, Centro, Areeiro",https://www.idealista.pt/en/imovel/32655981/
43 m²,T1,700€/month,"travessa do Rosário de Santa Clara, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/28095284/
43 m²,T1,850€/month,"rua do Jardim à Estrela, Lapa, Estrela",https://www.idealista.pt/en/imovel/28047154/
90 m²,T1,1200€/month,"rua Luís Pastor de Macedo, Alto do Lumiar - Quinta das Conchas - Quinta do Lambert, Lumiar",https://www.idealista.pt/en/imovel/28038137/
44 m²,T1,1500€/month,,https://www.idealista.pt/en/imovel/27971463/
64 m²,T2,1300€/month,"praça João de Azevedo Coutinho, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/27909726/
43 m²,T1,990€/month,"rua Capitão Renato Baptista, Anjos, Arroios",https://www.idealista.pt/en/imovel/27908690/
44 m²,T1,1000€/month,"avenida Elias Garcia, Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/27822291/
