size,num_rooms,rent_price,location,url
T262 m²,T2,"1,200€/month",,https://www.idealista.pt/en/imovel/33921256/
T265 m²,T2,"1,700€/monthParking included","rua Fernando Maurício, Marvila, Lisboa",https://www.idealista.pt/en/imovel/34064799/
T145 m²,T1,990€/month,"rua Pedro Dias, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/33876065/
T145 m²,T1,"1,300€/month","rua Sol a Chelas, Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/33585753/
T245 m²,T2,"1,450€/month","travessa do Forno aos Anjos, Anjos, Arroios",https://www.idealista.pt/en/imovel/33410419/
T260 m²,T2,"1,500€/month","travessa São Bernardino, Pena, Arroios",https://www.idealista.pt/en/imovel/33380694/
T152 m²,T1,900€/month,"rua Dom Tomás de Melo Breyner, Beato, Lisboa",https://www.idealista.pt/en/imovel/33359936/
T265 m²,T2,"1,650€/month","rua da Palma, Rossio - Martim Moniz, Santa Maria Maior",https://www.idealista.pt/en/imovel/33246798/
T245 m²,T2,"1,000€/month","rua Academia das Ciências, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/33146671/
T260 m²,T2,"1,450€/month","largo das Olarias, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/33146645/
T160 m²,T1,"1,295€/month","rua do Embaixador, Centro, Belém",https://www.idealista.pt/en/imovel/33113048/
T270 m²,T2,"1,700€/month1,800 €6%","rua Heróis de Quionga, Centro, Penha de França",https://www.idealista.pt/en/imovel/33051578/
T150 m²,T1,"1,600€/month","beco Carrasco, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/33051563/
T155 m²,T1,"1,950€/month","travessa dos Inglesinhos, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/32737892/
T149 m²,T1,"1,380€/month","rua de Gustavo de Matos Sequeira, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/32737870/
T2100 m²,T2,"1,750€/month","praça de Londres, Centro, Areeiro",https://www.idealista.pt/en/imovel/32655981/
T143 m²,T1,700€/month,"travessa do Rosário de Santa Clara, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/28095284/
